date,ced_code_2018,ced_name_2018,Commonwealth electoral division state,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Seniors Health Card,Disability Support Pension,Double Orphan Pension,Family Tax Benefit A,Family Tax Benefit B,Family Tax Benefit PART A Children,Health Care Card,Low Income Card,Newstart Allowance/Jobseeker Payment,Parenting Payment Partnered,Parenting Payment Single,Partner Allowance,Pension Concession Card,Sickness Allowance,Special Benefit,Widow Allowance,Wife Pension (Partner on Age Pension),Wife Pension (Partner on Disability Support Pension),Youth Allowance (other),Youth Allowance (student and apprentice),Commonwealth Rent Assistance
2019-03,219,Higgins,Victoria,15,14,9457,263,2007,27,525,3531,2537,0,2803,2227,4514,5410,1911,1736,86,306,0,14252,23,30,38,10,5,100,1408,4339
2019-03,220,Holt,Victoria,5,11,11190,168,4900,110,2282,815,4438,14,16552,12889,33652,13395,3099,4492,1037,2005,8,23279,47,73,76,13,11,572,1627,8441
2019-03,221,Hotham,Victoria,36,7,19225,239,4298,67,1556,3267,3653,0,7192,5411,12654,9639,3377,2876,279,610,10,27770,21,109,85,41,16,178,2284,6321
2019-03,222,Indi,Victoria,24,36,21197,117,4401,102,1891,3153,5746,13,9492,7238,18818,8494,2049,4347,354,1538,10,34096,54,11,72,26,37,463,522,7762
2019-03,223,Isaacs,Victoria,8,5,15768,166,3338,83,1161,2755,3735,5,6630,5115,12005,7377,2249,2763,259,718,6,23902,28,74,42,15,12,219,1023,6262
2019-03,224,Jagajaga,Victoria,27,10,13686,212,3380,73,999,3479,3587,0,5514,4428,10156,7602,2754,2505,204,658,0,21266,31,28,49,18,5,198,1389,4890
2019-03,225,Kooyong,Victoria,15,5,8274,276,1718,39,339,4877,1833,0,2748,2048,4571,5839,2309,1215,59,188,0,11972,12,25,33,5,0,70,1707,3780
2019-03,226,La Trobe,Victoria,14,17,12774,159,4096,117,1460,1488,3375,9,12230,9557,24318,10134,2540,3301,526,1813,5,22196,26,36,62,11,7,404,1062,7474
2019-03,227,Lalor,Victoria,21,35,10537,244,5020,141,2138,1016,3856,20,17598,14274,35617,15023,3055,5115,1174,2117,8,22117,44,82,73,23,25,571,1521,10456
2019-03,228,Macnamara,Victoria,32,9,8513,361,1802,26,583,2808,3926,5,3352,2838,6032,6172,1785,2915,156,409,5,15446,32,32,45,7,5,137,1277,6211
2019-03,229,Mallee,Victoria,41,185,23872,107,5639,90,2779,2938,8453,10,10963,8378,22272,11443,2527,5946,596,2035,15,41531,42,36,81,40,49,794,506,9510
2019-03,230,Maribyrnong,Victoria,20,14,14693,385,4074,57,1353,2532,3496,5,5541,4405,9672,9035,2936,3584,277,723,7,22861,27,72,67,25,6,247,1701,5684
2019-03,231,McEwen,Victoria,19,16,12334,160,4193,128,1413,1837,3177,0,9613,7579,19112,8458,2339,2834,309,1519,0,20810,40,16,51,11,14,316,745,5734
2019-03,232,Melbourne,Victoria,118,19,7237,766,1785,37,833,1677,4186,8,3921,3470,7067,10366,3551,4281,315,787,0,15611,19,67,62,9,7,217,3073,6325
2019-03,233,Menzies,Victoria,0,7,14726,162,3230,56,831,5419,2135,5,5114,3729,9059,6736,2487,1754,157,382,6,20210,20,57,50,11,6,113,1148,3528
2019-03,234,Monash,Victoria,20,22,22499,155,4560,106,1921,3589,6053,5,9826,7540,19796,9666,2850,4934,388,1713,12,36500,51,13,58,31,32,481,534,8672
2019-03,235,Nicholls,Victoria,44,91,21951,97,5548,90,2534,2811,7015,8,11140,8666,22738,10910,2422,5707,584,2137,6,38203,53,69,43,40,49,681,707,10405
2019-03,236,Scullin,Victoria,19,27,16106,242,7041,124,3219,1126,5476,5,12133,9571,23030,12108,3121,4836,859,1341,17,29685,39,151,64,63,40,401,1816,8003
2019-03,237,Wannon,Victoria,16,65,21145,120,4667,112,2049,3182,6883,13,9751,7236,19770,10002,3003,5140,432,1589,7,36115,51,6,65,33,45,618,610,7870
2019-03,238,Wills,Victoria,39,15,15280,637,4946,79,1976,1513,4524,0,6737,5440,12494,10753,3444,3963,485,721,9,25145,28,64,43,55,27,301,2177,7786
2019-03,301,Blair,Queensland,91,327,15934,253,5848,129,2759,1437,8093,14,15389,12986,32146,13198,1738,6711,850,3387,8,34959,70,17,60,30,51,1260,851,16022
2019-03,302,Bonner,Queensland,57,82,14060,190,2887,53,992,2805,3281,0,7171,5681,13058,7138,1495,2959,244,989,0,21859,31,25,37,20,13,361,1124,6906
2019-03,303,Bowman,Queensland,39,88,18767,155,4131,80,1531,2741,4223,5,8172,6472,15825,7177,1317,3589,249,1395,5,28997,52,11,61,20,37,415,642,8052
2019-03,304,Brisbane,Queensland,129,46,7283,499,1275,22,358,2191,3947,0,3438,2919,5404,7931,2053,3567,119,483,0,14298,39,15,33,5,0,322,2269,9406
2019-03,305,Capricornia,Queensland,75,335,14683,127,3682,96,1566,2011,4727,6,8460,7073,17133,8754,1154,5156,379,2054,10,26353,36,9,46,20,29,841,377,9013
2019-03,306,Dawson,Queensland,35,351,14556,104,3614,64,1578,2445,4357,0,8674,7272,17262,8666,1050,5169,399,2063,5,26074,52,7,62,28,30,694,498,9364
2019-03,307,Dickson,Queensland,34,88,12678,195,3637,80,1245,2261,3252,9,8304,6608,16201,7602,1372,3320,325,1343,7,21293,31,11,50,14,17,598,717,6748
2019-03,308,Fadden,Queensland,77,72,19059,359,4706,89,1978,2506,4565,5,12677,10352,23755,11625,1902,5206,592,2174,5,31459,68,37,65,25,8,642,1501,15904
2019-03,309,Fairfax,Queensland,49,77,19783,371,3879,66,1530,3395,4793,6,9967,7774,18427,9152,1766,4703,431,1476,11,31452,57,14,71,13,25,618,931,11154
2019-03,310,Fisher,Queensland,58,75,21574,328,4411,81,1691,3639,4681,9,9499,7352,17918,9334,1815,4411,395,1499,9,33222,51,6,80,22,29,621,1246,11067
2019-03,311,Flynn,Queensland,72,411,14452,95,4458,92,2207,1835,5466,7,9994,8338,20957,10764,1162,6808,611,2544,7,28778,48,13,46,38,55,1040,255,9481
2019-03,312,Forde,Queensland,53,137,16492,250,5371,116,2427,1202,5808,5,14986,12300,30597,12513,1685,5557,715,3012,6,31611,59,40,51,21,33,989,1024,15992
2019-03,313,Griffith,Queensland,83,53,8466,502,1672,41,548,2028,3462,5,4590,3831,7548,8044,2069,3329,154,706,5,15411,24,34,23,6,8,402,2213,7693
2019-03,314,Groom,Queensland,62,300,17026,214,3872,100,1604,2785,5645,8,10437,8413,21842,9855,1690,4581,605,2097,0,29797,35,19,48,31,40,887,825,11653
2019-03,315,Herbert,Queensland,224,790,13097,264,4263,108,2016,1583,5266,6,11937,10241,23988,13458,1985,6820,611,3168,0,27526,47,6,55,17,24,1145,1484,12650
2019-03,316,Hinkler,Queensland,48,253,28953,206,7789,101,4033,2614,8225,9,11168,9069,22131,11777,1894,7448,666,2408,25,48882,58,15,72,64,67,1238,491,15820
2019-03,317,Kennedy,Queensland,196,1299,18467,94,4267,90,2178,2706,5781,11,12425,10211,26267,13301,999,8267,836,3046,5,33894,45,11,37,33,45,1115,253,10436
2019-03,318,Leichhardt,Queensland,396,1634,14350,244,3343,71,1713,1781,5425,5,13311,11169,25706,16059,1317,9223,955,3106,6,28468,47,9,41,20,8,1151,668,12263
2019-03,319,Lilley,Queensland,60,101,14582,258,2729,60,976,2607,4213,5,7113,5779,12591,7614,1528,3762,314,1147,5,23884,32,35,61,9,7,456,1072,8164
2019-03,320,Longman,Queensland,58,181,21980,255,6659,139,3070,2099,6975,9,13449,11009,27237,12155,1872,6376,713,2871,23,39726,62,15,60,28,58,1122,819,16308
2019-03,321,Maranoa,Queensland,69,450,19868,81,5069,84,2586,2740,7271,5,11042,8596,23425,9841,1175,5444,633,2335,10,36081,50,5,75,52,61,874,246,10206
2019-03,322,McPherson,Queensland,60,71,17896,405,3519,76,1365,2596,3732,7,9123,7193,16289,8610,1650,3900,293,1263,5,27415,37,12,58,17,17,412,1265,9700
2019-03,323,Moncrieff,Queensland,77,67,19293,425,3716,68,1656,2914,4747,6,9069,7355,15365,10203,1841,5585,365,1447,8,31072,56,31,58,19,17,533,1572,13883
2019-03,324,Moreton,Queensland,73,67,11493,378,2550,56,1034,2780,3789,0,8080,6400,15073,10323,2380,4051,485,998,6,20114,24,104,53,11,9,480,2350,8655
2019-03,325,Oxley,Queensland,61,184,12190,249,4218,120,2047,1385,5093,18,14253,11653,29148,12916,1979,5878,922,2422,5,25747,47,89,62,21,23,888,1489,11156
2019-03,326,Petrie,Queensland,50,148,19765,225,4863,89,2006,2393,5909,7,12477,10240,24073,10520,1592,5256,536,2303,5,34046,46,18,62,21,28,878,811,14319
2019-03,327,Rankin,Queensland,66,248,13802,255,4771,132,2466,1106,6129,18,17314,14143,36029,15780,2190,7090,1174,3023,9,29837,55,160,71,34,47,1211,1494,14276
2019-03,328,Ryan,Queensland,60,37,8742,348,1877,52,434,3800,2007,0,4395,3532,8032,7329,2097,1950,148,438,5,13456,21,20,30,0,0,269,2587,5561
2019-03,329,Wide Bay,Queensland,42,228,23729,203,6256,70,3368,3106,8743,0,10336,8204,20211,10331,1610,6665,623,1874,17,42808,45,11,86,48,62,1005,472,12005
2019-03,330,Wright,Queensland,53,142,16138,175,5045,122,2234,1956,5156,14,11411,8882,23824,9823,1469,4664,550,1999,9,28999,62,31,39,31,53,647,875,9541
2019-03,401,Adelaide,South Australia,96,68,16564,490,4094,72,1784,2285,7077,7,8590,6820,15243,12224,2976,6024,503,1152,6,30711,32,143,60,30,16,512,2749,11758
2019-03,402,Barker,South Australia,49,101,23715,103,4894,108,2242,3065,7080,9,11346,8649,22745,10234,1708,6400,611,1886,9,39769,57,14,59,39,50,772,575,9670
2019-03,403,Boothby,South Australia,74,46,21172,376,3290,77,1171,3986,5342,7,6535,5180,11280,9010,2434,4126,287,891,8,32099,40,41,36,24,18,409,1973,9296
2019-03,404,Grey,South Australia,110,318,24715,100,5995,131,2982,2432,8618,10,11230,9000,22567,12862,1694,8911,758,2362,17,44214,55,9,53,41,69,1068,501,9042
2019-03,405,Hindmarsh,South Australia,54,87,22256,298,5069,91,2140,2637,6411,8,8332,6633,14749,9515,2077,5552,371,1294,10,36372,52,42,38,48,32,525,1428,9192
2019-03,406,Kingston,South Australia,47,58,21049,311,5135,143,2270,1520,6286,5,11660,9190,21635,11287,2285,6162,533,2023,16,36135,56,12,55,28,38,847,1284,9074
2019-03,407,Makin,South Australia,41,51,21819,262,5123,152,2129,1623,5485,10,11472,8880,21730,11017,2291,5306,683,1610,14,35202,45,51,53,30,36,608,1531,7383
2019-03,408,Mayo,South Australia,20,36,23648,220,4065,87,1581,3744,4784,6,9099,6889,17635,8222,1732,4322,422,1241,6,35078,45,5,68,26,40,463,799,8370
2019-03,409,Spence,South Australia,73,140,18929,297,8066,266,4259,704,10271,40,18328,15293,36558,18490,2951,10940,1590,3886,15,45006,68,82,78,56,75,1459,1852,16401
2019-03,410,Sturt,South Australia,41,33,20926,349,3601,67,1136,4251,4690,0,7552,5738,13186,8240,2062,3557,272,765,7,30686,42,42,47,24,25,269,1503,8498
2019-03,501,Brand,Western Australia,46,134,14865,195,3682,140,1528,1212,4030,7,12143,10501,24134,12116,1778,6605,540,2753,5,26665,51,19,45,31,32,961,732,10478
2019-03,502,Burt,Western Australia,65,194,14453,242,3509,117,1519,1227,3799,8,13008,10938,25994,14007,2227,6930,798,2322,7,25442,45,59,52,31,33,961,1284,9599
2019-03,503,Canning,Western Australia,34,130,20759,134,3731,91,1528,2844,3990,9,8840,7521,17584,9627,1600,5562,425,2100,9,31642,39,14,63,25,33,710,603,9801
2019-03,504,Cowan,Western Australia,35,128,13402,194,2999,108,1240,1256,3181,10,9729,7820,19405,11003,2155,5359,627,1509,7,22045,37,45,52,32,34,648,1301,6619
2019-03,505,Curtin,Western Australia,129,41,9205,297,1254,30,326,4369,2197,0,2873,2399,4839,5357,1488,1940,76,407,5,13508,12,16,18,0,5,165,1422,4063
2019-03,506,Durack,Western Australia,204,1319,11193,68,2754,63,1501,1367,5211,9,10937,9595,22230,14196,783,9032,963,3249,0,24313,44,7,22,20,22,1210,207,5756
2019-03,507,Forrest,Western Australia,28,161,17438,153,2992,68,1280,3155,3775,5,9468,7797,18257,9197,1630,5277,437,1818,7,27760,43,16,42,22,14,708,405,8621
2019-03,508,Fremantle,Western Australia,57,116,13652,336,2614,86,929,2054,3565,7,6814,5793,12326,9193,1900,4883,249,1322,6,22075,33,17,34,26,31,528,1115,6528
2019-03,509,Hasluck,Western Australia,47,173,15073,177,2639,73,1035,2140,3189,8,8056,6812,15814,9507,1567,5045,406,1523,5,23427,41,28,47,27,25,616,774,6806
2019-03,510,Moore,Western Australia,20,28,12348,201,2037,51,534,2866,1771,5,4835,3883,9061,6176,1523,2636,126,742,7,17077,28,5,21,9,12,282,900,3821
2019-03,511,O'Connor,Western Australia,62,419,16458,92,3120,73,1461,2900,5029,5,9238,7621,18888,9415,1153,5817,545,1913,17,28202,42,10,52,30,49,664,272,6904
2019-03,512,Pearce,Western Australia,43,215,14179,243,3589,144,1479,1939,3634,15,13691,11465,27247,12356,1864,5980,608,2786,5,25388,52,31,47,14,22,892,979,8638
2019-03,513,Perth,Western Australia,56,64,13428,349,1885,30,725,2118,3365,0,5125,4287,8953,8952,2022,4848,257,846,0,20583,44,44,47,28,9,456,1323,7565
2019-03,514,Stirling,Western Australia,41,85,15398,272,2645,57,1061,3012,3635,10,7506,6301,13579,9972,1951,5153,576,1285,12,24045,30,70,49,21,22,510,1191,7599
2019-03,515,Swan,Western Australia,92,154,13593,358,2109,56,906,2247,3671,8,6979,5965,12742,11094,2369,5225,438,1178,0,21700,39,54,47,11,13,607,1960,8735
2019-03,516,Tangney,Western Australia,24,58,12874,201,1804,46,528,4222,1611,5,4502,3486,8313,5967,1580,2162,127,521,5,17151,17,23,33,8,10,194,1089,3645
2019-03,601,Bass,Tasmania,51,82,14472,177,3211,57,1781,1383,4961,11,7541,6052,14666,8776,1836,4915,561,1457,13,26006,36,5,45,30,28,801,902,8273
2019-03,602,Braddon,Tasmania,48,148,16542,97,4252,68,2471,1237,6456,5,7745,6200,15015,7284,1628,4473,444,1385,18,30481,35,13,58,42,49,747,379,8108
2019-03,603,Clark,Tasmania,55,45,11199,255,2400,42,1093,1822,4965,5,5881,4767,10733,7337,1880,3594,306,1025,5,20712,25,15,19,17,18,587,1269,6993
2019-03,604,Franklin,Tasmania,33,54,13613,112,2847,42,1293,2022,4271,6,6562,5112,12728,5947,1466,2796,295,1018,12,22595,37,5,28,27,29,477,552,5059
2019-03,605,Lyons,Tasmania,33,84,15502,87,4144,66,2305,1157,6371,0,8276,6407,16386,7214,1467,4299,497,1584,16,28938,42,5,51,42,53,595,321,6734
2019-03,701,Lingiari,Northern Territory,227,1361,4689,28,1766,51,1075,351,5308,0,11007,9479,20905,17524,266,11062,2219,2288,0,16065,26,0,24,5,6,1518,83,2701
